variable,condition,phenotype,direction,strength,confidence,source_count,notes
leavener_blend,soda_plus_powder,crispness,1,moderate,medium-high,3,Often crisp edges.
chill_time,increase,spread,-1,moderate,high,5,Longer chilling generally reduces spread.
chill_time,increase,thickness,1,moderate,high,5,Longer chilling generally increases thickness.
chill_time,increase,chewiness,1,weak-to-moderate,medium-high,2,Some sources report slightly more chew.
chill_time,increase,browning,1,weak-to-moderate,medium,2,Some sources report darker cookies.
dough_temperature,colder,spread,-2,strong,high,4,Temperature may matter more than age for spread.
dough_temperature,colder,thickness,2,strong,high,4,Cold/frozen dough strongly retains shape.
bake_time,increase,softness,-2,strong,high,3,Longer bake removes more moisture.
bake_time,increase,crispness,2,strong,high,3,Longer baking strongly increases crispness.
bake_time,increase,browning,1,moderate,high,3,Longer bake generally increases browning.
bake_temperature,increase,browning,2,strong,medium-high,2,Higher temperature increases browning rate.
bake_temperature,increase,thickness,1,moderate,medium,1,Faster setting can preserve thickness; depends on time.
flour_type,bread_vs_ap,chewiness,1,weak,low-medium,2,"Conflicting evidence: BuzzFeed yes, King Arthur no difference."
flour_type,cake_vs_ap,softness,1,moderate,medium,2,Lower protein generally gives softer texture.
flour_type,cake_vs_ap,cakiness,1,moderate,medium,2,Can become softer/more delicate or crumbly.
egg_quantity,double,thickness,1,moderate,medium-high,1,More egg adds structure.
egg_quantity,double,chewiness,-1,moderate,medium-high,1,Palatable Life reported more cake-like/spongy.
egg_quantity,double,softness,1,moderate,medium-high,1,Extra water/protein increases softness.
egg_quantity,double,crispness,-2,strong,medium-high,1,Less crisp.
egg_quantity,double,cakiness,2,strong,medium-high,1,Strong spongy/cake-like shift.
egg_quantity,none,thickness,-1,moderate,medium-high,1,Poor structure.
egg_quantity,none,chewiness,-2,strong,medium-high,1,Crumbly rather than chewy.
egg_quantity,none,softness,-2,strong,medium-high,1,Drier texture.
egg_quantity,none,crispness,2,strong,medium-high,1,Very crunchy bottom.
egg_quantity,none,cakiness,-2,strong,medium-high,1,No spongy/cakey structure.
extra_yolk,increase,chewiness,1,moderate,medium,2,Yolk fat/emulsifiers may support chew.
extra_yolk,increase,softness,1,moderate,medium,2,Adds richness/tenderness.
extra_yolk,increase,cakiness,-1,moderate,medium,1,Less white/protein-driven sponginess.
cornstarch,increase,spread,-1,weak,low-medium,1,Likely reduces spread.
cornstarch,increase,thickness,1,weak,low-medium,1,Likely increases thickness.
cornstarch,increase,softness,1,moderate,low-medium,1,Often associated with tenderness.
cornstarch,increase,crispness,-1,weak,low-medium,1,Often associated with less crispness.
chocolate_form,chopped_vs_chips,softness,1,weak,medium,1,Melted fragments can make local texture fudgier.
chocolate_form,chopped_vs_chips,chewiness,1,weak,medium,1,Localized fudginess/chew.
baking_surface,parchment_vs_bare,spread,-1,weak,medium,1,King Arthur reported less spread on parchment.
baking_surface,parchment_vs_bare,browning,-1,weak,medium,1,Reduced bottom browning.
